так как
потому что
поскольку
оттого что
ввиду того что
благодаря тому что
вследствие того что
в связи с тем что
в силу того что
ибо
затем что
так что
а то
а не то
чтобы
чтоб
для того чтобы
с тем чтобы
затем чтобы
дабы
если
раз
ли
коль скоро
ежели
коли
кабы
когда
хотя
хоть
даром что
только бы
лишь бы
несмотря
невзирая
хотя бы
хоть бы
пусть
пускай
в то время как
между тем как
тогда как
добро бы
пускай бы
только
правда
едва
едва
как только
как
когда
лишь
лишь
по мере того как
после того как
с тех пор как
пока
покамест
покуда
прежде нежели
прежде чем
только
только что
чуть лишь
чуть
чуть только
до того как
в то время как
как
что
будто
как будто
словно
словно как
подобно тому как
точно
чем
нежели
что
чтобы
будто
как
а
да
дабы
едва
ежели
ежли
если
зато
и
ибо
или
иль
иначе
кабы
как
когда
коли
коль
ли
либо
но
однако
однакож
пока
покамест
покуда
поскольку
постольку
притом
причём
словно
точно
хоть
хотя
чем
что
чтоб
чтобы
чуть
яко
якобы
типа
где
столько
сколько
